,Unnamed: 0,ts,ID,DLC,bin
16585,2,0.002066,226,8,0000000000000000000100000000000000000000000000000000000000000000
321,3,0.003058,320,8,0000000000100000000000000000000000000000000000000000000001001011
11286,6,0.005989,2C1,8,0000000000000000011110010000000100101001110000000000100100110111
14276,7,0.007994,1C6,8,0000000000000000000000001111000011001101000100100000000000000000
1584,9,0.008577,25,8,0000000000001010000000000000000100100000000000000000000001011000
28232,10,0.008816,24,8,0000001000000000000000100000011001000001111111011000000011110100
21791,11,0.00904,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
18588,12,0.010029,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
7592,14,0.011417,3BC,8,0
31690,15,0.011984,1C4,8,0000110100001010000110110000000000000000000000000000000011111111
7894,19,0.014084,260,8,0000000000000000000000000000000000000000000000000000101101110101
1585,21,0.01834,25,8,0000000000001010000000000000000100100000000000000000000001011000
21792,22,0.019001,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
21592,25,0.026748,443,8,0100110100000010000000000010111100000110000000000000000000000000
1586,27,0.028297,25,8,0000000000001010000000000000000100100000000000000000000001011000
28233,28,0.028585,24,8,0000001000000001000000100000011001000001111111011000000011110101
21793,29,0.028963,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
18589,30,0.029951,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
31691,32,0.031903,1C4,8,0000110100011110000110110000000000000000000000000000000000010011
16586,36,0.033938,226,8,0000000000000000000100000000000000000000000000000000000000000000
7895,37,0.034182,260,8,0000000000000000000000000000000000000000000000000000101101110101
11287,38,0.035887,2C1,8,0000000000000000011101100000000011110000110000000000100111111010
27859,39,0.036134,4DC,8,0001110100000000000000000000000000000000000000000000000000000000
14277,42,0.038166,1C6,8,0000000000000000000000001111000110100010000100100000000000000000
1587,43,0.03841,25,8,0000000000001010000000000000000100100000000000000000000001011000
21794,44,0.038921,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
60,46,0.04091,3B7,8,1000
1588,48,0.048246,25,8,0000000000001010000000000000000100100000000000000000000001011000
28234,49,0.048515,24,8,0000001000000001000000100000011001000001111111011000000011110101
21795,50,0.048853,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
18590,51,0.04987,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
31692,53,0.051824,1C4,8,0000110100110000000110110000000000000000000000000000000000100101
322,55,0.052235,320,8,0000000000100000000000000000000000000000000000000000000001001011
7896,56,0.053869,260,8,0000000000000000000000000000000000000000000000000000101101110101
13315,57,0.054021,394,3,0
1523,60,0.05665,6F3,8,0010000000000000000000000000000000000000000000000000000000000000
1589,62,0.058177,25,8,0000000000001010000000000000000100100000000000000000000001011000
21796,63,0.05884,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
16587,66,0.061824,226,8,0000000000000000000100000000000000000000000000000000000000000000
11288,69,0.065752,2C1,8,0000000000000000011100000000000011010110110000000000100111011010
14278,70,0.067828,1C6,8,0000000000000000000000001111001001101000000100110000000000000000
1590,72,0.068348,25,8,0000000000001010000000000000000100100000000000000000000001011000
28235,73,0.068584,24,8,0000001000000001000000100000011001000001111111011000000011110101
21797,74,0.068808,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
10963,76,0.069188,620,8,0001000000000000000000000000000000000000000000000000000000000000
18591,77,0.06979,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
13516,80,0.071062,399,8,0000000000000000000000000000000000000000111111110000000000000000
31693,82,0.071946,1C4,8,0000110101010001000110110000000000000000000000000000000001000110
7897,84,0.073788,260,8,0000000000000000000000000000000000000000000000000001011110000001
1591,86,0.078167,25,8,0000000000001010000000000000000100100000000000000000000001011000
21798,88,0.078791,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
31569,89,0.083596,633,8,1000000100000000000000000000000000000000000000000000000000000000
11164,90,0.083839,39A,8,0000000000000000000000000010000100000000000000000000000000000000
1592,93,0.088054,25,8,0000000000001010000000000000000100100000000000000000000001011000
28236,94,0.088372,24,8,0000001000000000000000100000011001000001111111011000000011110100
21799,95,0.088721,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
18592,96,0.089713,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
0,98,0.09135,3B1,8,0000000000000000000000100000101000000000000010000000000000000000
31694,99,0.09166,1C4,8,0000110101100000000110110000000000000000000000000000000001010101
7898,103,0.093674,260,8,0000000000000000000000000000000000000000000000000000101101110101
16588,104,0.093921,226,8,0000000000000000000100000000000000000000000000000000000000000000
11289,105,0.095646,2C1,8,0000000000000000011011000000000011001001110000000000100111001001
14279,106,0.097624,1C6,8,0000000000000000000000001111001100011111000100110000000000000000
1593,108,0.098211,25,8,0000000000001010000000000000000100100000000000000000000001011000
21800,109,0.098681,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
323,111,0.100668,320,8,0000000000100000000000000000000000000000000000000000000001001011
1594,114,0.108004,25,8,0000000000001010000000000000000100100000000000000000000001011000
28237,115,0.108311,24,8,0000001000000001000000100000011001000001111111011000000011110101
21801,116,0.108613,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
18593,117,0.109628,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
31695,119,0.111589,1C4,8,0000110101101110000110110000000000000000000000000000000001100011
7899,122,0.113624,260,8,0000000000000000000000000000000000000000000000000000101101110101
1595,124,0.11794,25,8,0000000000001010000000000000000100100000000000000000000001011000
21802,125,0.118603,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
16589,129,0.121584,226,8,0000000000000000000100000000000000000000000000000000000000000000
11290,130,0.125512,2C1,8,0000000000000000011010010000000010111001110000000000100110110110
14280,131,0.12752,1C6,8,0000000000000000000000001111001111011111000100110000000000000000
35627,8,0.127536,3BB,5,1000010000000000000000000000011100101011
1596,133,0.128176,25,8,0000000000001010000000000000000100100000000000000000000001011000
28238,134,0.128344,24,8,0000001000000000000000100000011001000001111111011000000011110100
21803,135,0.128567,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
31371,136,0.128806,44D,8,0100001000000010000000000000000000000001000000000000000000000000
18594,138,0.129549,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
31696,140,0.131504,1C4,8,0000110110001011000110110000000000000000000000000000000010000000
34932,143,0.132535,4C3,8,0000001100000000000000000000000100000000000000000000000000000000
7900,145,0.133491,260,8,0000000000000000000000000000000000000000000000000000101101110101
1597,148,0.137854,25,8,0000000000001010000000000000000100100000000000000000000001011000
21804,150,0.138519,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
16345,151,0.141879,3F9,8,0111010100011000000000100000001010000000000000000000000000010101
1598,153,0.147816,25,8,0000000000001010000000000000000100100000000000000000000001011000
28239,154,0.148161,24,8,0000001000000001000000100000011001000001111111011000000011110101
21805,155,0.148481,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
18595,156,0.149469,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
31697,158,0.151428,1C4,8,0000110110011000000110110000000000000000000000000000000010001101
7901,163,0.153442,260,8,0000000000000000000000000000000000000000000000000001011110000001
16590,164,0.153688,226,8,0000000000000000000100000000000000000000000000000000000000000000
324,165,0.154448,320,8,0000000000100000000000000000000000000000000000000000000001001011
11291,166,0.155408,2C1,8,0000000000000000011010010000000010101001110000000000100110100110
14281,167,0.157384,1C6,8,0000000000000000000000001111010010011011000101000000000000000000
1599,169,0.1588,25,8,0000000000001010000000000000000100100000000000000000000001011000
21806,170,0.159411,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
1600,174,0.167762,25,8,0000000000001010000000000000000100100000000000000000000001011000
28240,175,0.16804,24,8,0000001000000001000000100000011001000001111111011000000011110101
21807,177,0.168535,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
18596,178,0.169389,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
31698,180,0.171344,1C4,8,0000110110100101000110110000000000000000000000000000000010011010
7902,182,0.17335,260,8,0000000000000000000000000000000000000000000000000000101101110101
1601,184,0.177696,25,8,0000000000001010000000000000000100100000000000000000000001011000
21808,185,0.178359,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
16591,188,0.181348,226,8,0000000000000000000100000000000000000000000000000000000000000000
11292,190,0.185279,2C1,8,0000000000000000100100000000000010011100110000000000101011000001
14282,191,0.187281,1C6,8,0000000000000000000000001111010101001001000101000000000000000000
1602,193,0.18789,25,8,0000000000001010000000000000000100100000000000000000000001011000
28241,194,0.188133,24,8,0000001000000000000000100000011001000001111111011000000011110100
21809,195,0.188354,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
18597,196,0.189308,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
31699,198,0.191262,1C4,8,0000110110111101000110110000000000000000000000000000000010110010
7903,202,0.193168,260,8,0000000000000000000000000000000000000000000000000001011110000001
1603,205,0.197618,25,8,0000000000001010000000000000000100100000000000000000000001011000
21810,207,0.198283,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
325,208,0.199268,320,8,0000000000100000000000000000000000000000000000000000000001001011
7773,209,0.200517,610,8,0010000000000000000000000110010011000000111111111111110101000000
1604,212,0.207575,25,8,0000000000001010000000000000000100100000000000000000000001011000
28242,213,0.207871,24,8,0000001000000001000000100000011001000001111111011000000011110101
21811,214,0.208241,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
18598,215,0.209229,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
31700,217,0.211192,1C4,8,0000110111001010000110110000000000000000000000000000000010111111
34812,220,0.211757,3C3,8,0100010000011110100101000100111011101110010110010000001110001000
7904,222,0.21303,260,8,0000000000000000000000000000000000000000000000000000101101110101
16592,223,0.213277,226,8,0000000000000000000100000000000000000000000000000000000000000000
11293,225,0.215173,2C1,8,0000000000000010000000000000000010011001110000000001000100110111
14283,226,0.217156,1C6,8,0000000000000000000000001111010111110100000101000000000000000000
1605,229,0.217767,25,8,0000000000001010000000000000000100100000000000000000000001011000
27960,230,0.21801,6C0,8,1110010000000000000000001110000010000000000000000000000000000000
21812,231,0.218235,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
14018,234,0.22739,442,8,0100001100000010000000000000000000000010000000000000000000000000
1606,235,0.227636,25,8,0000000000001010000000000000000100100000000000000000000001011000
28243,236,0.227876,24,8,0000001000000001000000100000011001000001111111011000000011110101
21813,237,0.228134,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
18599,238,0.229151,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
31701,240,0.231112,1C4,8,0000110111100000000110110000000000000000000000000000000011010101
7905,242,0.232947,260,8,0000000000000000000000000000000000000000000000000001011110000001
1607,245,0.238479,25,8,0000000000001010000000000000000100100000000000000000000001011000
21814,246,0.239085,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
16593,250,0.242097,226,8,0000000000000000000100000000000000000000000000000000000000000000
11294,251,0.245042,2C1,8,0000000000000100000100000000000010010110110000000001101101010000
14284,252,0.247045,1C6,8,0000000000000000000000001111011010100110000101000000000000000000
1608,254,0.247654,25,8,0000000000001010000000000000000100100000000000000000000001011000
28244,255,0.247895,24,8,0000001000000001000000100000011001000001111111011000000011110101
21815,256,0.248124,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
18600,257,0.249066,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
31702,260,0.251029,1C4,8,0000110111101011000110110000000000000000000000000000000011100000
326,263,0.25206,320,8,0000000000100000000000000000000000000000000000000000000001001011
7906,264,0.252845,260,8,0000000000000000000000000000000000000000000000000001011110000001
35628,13,0.255073,3BB,5,0101001100000000000000000000000000101110
1609,266,0.257375,25,8,0000000000001010000000000000000100100000000000000000000001011000
21816,269,0.258039,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
35057,4,0.259656,3D3,3,101010100001001000000000
1610,274,0.26736,25,8,0000000000001010000000000000000100100000000000000000000001011000
28245,275,0.267644,24,8,0000001000000001000000100000011001000001111111011000000011110101
21817,276,0.267969,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
18601,277,0.268987,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
7653,278,0.269227,611,8,0010000100000000000000000001000000000000000000000011110101101100
31703,281,0.271143,1C4,8,0000110111110110000110110000000000000000000000000000000011101011
7907,284,0.272639,260,8,0000000000000000000000000000000000000000000000000001011110000001
16594,285,0.272971,226,8,0000000000000000000100000000000000000000000000000000000000000000
11295,286,0.274933,2C1,8,0000000000000101000011000000000010111001110000000010000101110110
14285,287,0.276913,1C6,8,0000000000000000000000001111011101001011000101010000000000000000
1611,289,0.277524,25,8,0000000000001010000000000000000100100000000000000000000001011000
21818,290,0.277957,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
1612,294,0.287281,25,8,0000000000001010000000000000000100100000000000000000000001011000
28246,295,0.287591,24,8,0000001000000000000000100000011001000001111111011000000011110100
11224,296,0.28784,4C8,8,0000100100000000000000000000000000000000000000000000000000000000
21819,297,0.288118,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
18602,298,0.288908,0B4,8,0000000000000000000000000000000010011100000000000000000001011000
31704,300,0.290877,1C4,8,0000111000001111000110110000000000000000000000000000000000000101
7908,302,0.292513,260,8,0000000000000000000000000000000000000000000000000010001110001101
1613,304,0.298239,25,8,0000000000001010000000000000000100100000000000000000000001011000
21820,305,0.298848,0AA,8,0001101001101111000110100110111100011010011011110001101001101111
16595,309,0.301857,226,8,0000000000000000000100000000000000000000000000000000000000000000
327,310,0.30285,320,8,0000000000100000000000000000000000000000000000000000000001001011
11296,311,0.304802,2C1,8,0000000000000101101101100000001000010000110000000010011001111110
14286,313,0.306811,1C6,8,0000000000000000000000001111011111100100000101010000000000000000
1614,315,0.307421,25,8,0000000000001010000000000000000100100000000000000000000001011000
28247,316,0.307661,24,8,0000001000000001000000100000011001000001111111011000000011110101
